id,商品名称,品牌,型号,功效,产地,适用发质,化妆品净含量
591765706530,Hair Recipe发之食无硅油无花果/蜂蜜/苹果姜/扁桃仁洗发水280ml ,HAIR RECIPE ,,强根健发 滋润 控油 柔顺ROSHUN ,中国 ,,无花果洗280ml 蜂蜜洗280ml 苹果姜洗280ml 扁桃仁洗280ml 
557116302419,澳宝 香氛洗发精华乳(红参健发强韧） ,澳宝 ,香氛洗发精华乳(红参健发强韧） ,柔软顺滑 脆弱开叉护理 改善毛躁 损伤修护 清洁发丝头皮 ,中国大陆 ,所有发质 ,
579198871964,韵の堂 薑黄防脱洗发露 ,韵の堂 ,,强根健发 头皮控油 防脱 育发 控油 ,中国 ,所有发质 ,生姜防脱洗发水500ml 
564712087783,丝域姜暖洗发露洗发水护发素套装滋养头皮强韧发根男女士生姜控油 ,丝域（化妆品） ,,,中国 ,,300mL 
580134440098,润丝丹 首邦防脱育发液（洗） ,润丝丹 ,,强韧防断发 防脱 育发 控油 防脱生发 ,中国 ,所有发质 ,防脱控油洗发水500ml（油性、中性发质适用） 防脱润养洗发水500ml（干性、中性发质适用） 草本养根护发素500ml（滋养头皮发丝） 防脱育发液100ml（头皮调理） 
527069560415,HAIR RECIPE 蜂蜜杏仁滋润保湿无硅油 ,HAIR RECIPE ,蜂蜜杏仁滋润保湿无硅油 ,滋润营养 ,泰国 ,,
19662049951,草方 祛屑套装 ,草方 ,祛屑套装 ,去屑止痒 改善头痒 控油 损伤修复 去屑 ,中国大陆 ,所有发质 ,
591426485383,丝蕴无硅水润洗发水套装750ml*2无硅油家庭装洗发露女控油护发素 ,SYOSS/丝蕴 ,无硅水润洗护电商套装 ,柔软顺滑 深度清洁 改善头痒 控油 补水 ,中国大陆 ,油性 ,
550161505425,利尻昆布 白发用植物染发香波 ,利尻昆布 ,,深层滋养头皮、清洁 清透润泽光泽亮丽 温和清洁、修护 保湿 锁色 ,日本 ,,黑色 深棕色 浅棕色 自然棕色 
571948426836,PAHKEN/帕克 女人香洗发水加护发素 ,PAHKEN/帕克 ,,强根健发 深层滋润头皮、清洁 改善毛躁 改善头痒 头皮控油 ,中国 ,,女人香滋养洗发水+护发素+沐浴露800ML 女人香去屑洗发水+护发素+沐浴露800ML 女人香控油洗发水+护发素+沐浴露800ML 女人香滋养洗发水+沐浴露+沐浴露800ML 女人香去屑洗发水+沐浴露+沐浴露800ML 女人香控油洗发水+沐浴露+沐浴露800ML 
569124086151,Aussie袋鼠丰盈洗发水300ml+护发素250ml进口套装蓬松女 ,AUSSIE ,,温和清洁、修护 头皮控油 深层清洁 ,法国 ,所有发质 ,
535689516310,Difaso/蒂花之秀 奢养修护洗发萃乳(臻宠修护深润去屑) ,Difaso/蒂花之秀 ,奢养修护洗发萃乳(臻宠修护深润去屑) ,去屑止痒 滋润营养 改善毛躁 控油 损伤护理 ,中国大陆 ,正常发质 ,
540205500414,霸王 生姜洗发水 ,霸王 ,生姜洗发水 ,防脱发 焗油 滋润营养 控油 ,中国大陆 ,,
580903011549,Sivia/仙维娜 橄榄去屑焗油洗发露350ml ,Sivia/仙维娜 ,橄榄去屑焗油洗发露350ml ,去屑止痒 深层修复 焗油 损伤修复 滋润 ,中国大陆 ,,
547261649117,阿迪达斯男士控油去屑洗发露膏400ml沐浴露洗发水洗浴二合一套装 ,Adidas/阿迪达斯 ,套装 ,其他 去屑 ,中国大陆 ,正常发质 ,
587718628359,屈臣氏日本进口amino mason氨基酸洗发水头皮去屑樱花洗护套装 ,Watsons/屈臣氏 ,,,日本 ,所有发质 ,450ml 
555743611042,采乐 酮康采乐去屑洗发露 ,采乐 ,,去头屑 深层清洁 控油 柔顺ROSHUN ,中国 ,所有发质 ,200mL 750mL 400mL 80ml 蓝色酮康（清爽控油）400ML 
593921889245,RYOE/吕 洗发水 ,RYO/吕 ,洗发水 ,深度滋养 防脱发 柔软顺滑 滋润营养 烫染修复 ,韩国 ,,
551114936801,TSUBAKI/丝蓓绮 滢艳润养洗发露 ,TSUBAKI/丝蓓绮 ,滢艳润养洗发露 ,深度滋养 柔软顺滑 滋润营养 补水 ,日本 ,,
520459564438,A’Gensn/安安金纯 洗发露沐浴露 ,A’Gensn/安安金纯 ,,去头屑 强韧防断发 改善毛躁 深层清洁 ,中国 ,所有发质 ,750去屑柔顺洗发露+750薰衣草沐浴露 750g去屑柔顺洗发露+750g止痒沐浴露 750g薰衣草洗发露+750g薰衣草沐浴露 750g去屑柔顺洗发露+750g玫瑰香浴乳 
577925352214,力士香氛洗发水春日桃花沁香香氛洗发乳500ml/750ML男女士洗发露 ,LUX/力士 ,力士洗发水组合-00100 ,清洁发丝头皮 ,中国大陆 ,,
569775719746,原野 原野一分钟干洗喷雾-新 ,原野 ,,控油 ,中国 ,油性 ,浆果甜美香型200ml装 个性牛仔香型200ml装 雨后清新香型200ml装 阳光清爽香型200ml装 经典原味香型200ml装 深海冷酷香型200ml装 星空浪漫香型200ml装 
40856908517,好迪男女去屑止痒洗发水沐浴露套装家庭装洗发露持久留香柔顺修护 ,好迪 ,好迪水润丝滑洗发水750ml+香薰舒缓沐浴露750ml ,柔软顺滑 去屑止痒 深层修复 脆弱开叉护理 舒缓肌肤 ,中国大陆 ,所有发质 ,
37603305991,阿道夫 祛屑止痒洗发水+沐浴露 ,阿道夫 ,祛屑止痒洗发水+沐浴露 ,深层修复 深度清洁 改善毛躁 损伤修复 ,中国大陆 ,所有发质 ,
571179053406,Schwarzkopf/施华蔻 多效修护19洗发露 ,Schwarzkopf/施华蔻 ,多效修护19洗发露 ,深度滋养 深度清洁 损伤修护 ,中国大陆 ,,
40844642442,施华蔻水凝胶原修护补水洗发露男女洗头膏洗发水护发素套装1000ml ,Schwarzkopf/施华蔻 ,水凝胶原修护套装 ,滋润 ,中国大陆 ,,
45487548204,KERASTASE/卡诗 绚亮深度护色洗发水 ,KERASTASE/卡诗 ,,改善毛躁 染后护色 ,西班牙 ,,250mL 
575698483388,KERASTASE/卡诗 绚色恒护洗发水 ,KERASTASE/卡诗 ,,染后护色 锁色 ,西班牙 ,,500ml 
37367825227,阿道夫 净澈清爽洗发乳液420ml ,阿道夫 ,净澈清爽洗发乳液420ML ,深层修复 深度清洁 丰盈蓬松 控油 损伤修复 ,中国大陆 ,所有发质 ,
12476087965,海飞丝 去屑洗发露护根防掉型 ,海飞丝 ,去屑洗发露护根防掉型 ,防脱发 去屑止痒 深层修复 ,中国大陆 ,正常发质 ,
520672294884,RYO/吕 吕舒盈清润舒缓去屑洗发水 ,RYO/吕 ,,去头屑 补水 ,韩国 ,干性 ,920ml 
576927404733,RYO/吕 129 ,RYO/吕 ,,,韩国 ,,
583080505353,海飞丝 恬雅清新去屑洗发露 ,海飞丝 ,,去头屑 深层清洁 ,中国 ,,300mL 
543501944655,欧莱雅美发透明质酸水润去头屑控油洗发水露润发乳套装 无硅油 ,L'OREAL /欧莱雅 ,,,中国 ,,
539146196494,欧莱雅美发多效修复洗发水润发乳护发素套装 改善干枯毛燥分叉 ,L'OREAL /欧莱雅 ,,,中国 ,,
559042765613,海飞丝袋装洗发水男士小包装官方控油去屑止痒旗舰店洗头露膏正品 ,海飞丝 ,海飞丝丝质柔滑去屑洗发水5ml*50包套装 ,深度滋养 柔软顺滑 去屑止痒 深层修复 其他 深度清洁 滋润营养 丰盈蓬松 改善毛躁 改善头痒 强韧防断发 控油 头皮舒缓 滋润 舒缓肌肤 去屑 清洁发丝头皮 ,中国大陆 ,所有发质 ,
561436086990,海飞丝洗发水露丝质柔滑型男女士去屑家庭装清爽洗头膏700ml包邮 ,海飞丝 ,海飞丝洗发水套装 ,柔软顺滑 去屑止痒 深度清洁 改善毛躁 改善头痒 ,中国大陆 ,所有发质 ,
522047046978,清扬男士去屑洗发活力运动薄荷500ml+凌仕男士沐浴露契合600ml ,CLEAR/清扬 ,清扬凌仕套装 ,去屑 ,中国大陆 ,所有发质 ,
39066944280,CLEAR/清扬去屑控油洗发水控油平衡型洗发露男女通用1千克洗发乳 ,CLEAR/清扬 ,清扬控油平衡洗发水组合 ,清洁发丝头皮 ,中国大陆 ,油性 ,
523274614254,CLEAR/清扬 女士去屑洗发露深度滋养型 ,CLEAR/清扬 ,女士去屑洗发露深度滋养型 ,清洁发丝头皮 ,中国大陆 ,所有发质 ,
549432637517,CLEAR/清扬 男士去屑净透洗发露(海藻菁萃型) ,CLEAR/清扬 ,男士去屑净透洗发露(海藻菁萃型) ,柔软顺滑 去屑止痒 滋润营养 控油 去屑 ,中国大陆 ,所有发质 ,
527763014011,L'OREAL欧莱雅男士炭爽活泉洗发水套装去头屑洗发露无硅油200ml*2 ,L'OREAL /欧莱雅 ,,改善头痒 去头屑 头皮控油 头皮舒缓 深层清洁 ,中国 ,所有发质 ,其他/other 
529046199924,L＇oreal/欧莱雅 男士去屑洗发露(维他强韧） ,L'OREAL /欧莱雅 ,,改善头痒 去头屑 ,中国 ,,700mL 
36881195916,VS沙宣修护水养洗发露套装750ml*2水润改善毛躁干枯受损洗发水 ,沙宣 ,,改善毛躁 深层清洁 滋润 补水 ,,所有发质 ,
541913465493,VS沙宣水润去屑洗发水400ml+200ml套装止痒洗发露去屑头皮屑男女 ,沙宣 ,,深层清洁 滋润 补水 ,,所有发质 ,
37251152574,L＇oreal/欧莱雅 沙龙洗护系列油脂平衡洗发水 ,L'OREAL /欧莱雅 ,沙龙洗护系列油脂平衡洗发水 ,控油 ,西班牙 ,油性 ,
583275482911,【烫染枯】triptychoflune三谷氨基酸洗发水护发素套装深层修护女 ,TriptychOfLune/三谷 ,,保湿 损伤修复 染后护色 柔顺润滑 滋润 ,,,
591765706530,Hair Recipe发之食无硅油无花果/蜂蜜/苹果姜/扁桃仁洗发水280ml ,HAIR RECIPE ,,强根健发 滋润 控油 柔顺ROSHUN ,中国 ,,无花果洗280ml 蜂蜜洗280ml 苹果姜洗280ml 扁桃仁洗280ml 
44148541336,【屈臣氏】组合 资生堂惠润洗发露(绿野芳香)600毫升*2件 ,Shiseido/资生堂 ,惠润洗发露(绿野芳香)*2件+护发素600ml套装 ,深度滋养 深层修复 深度清洁 ,日本 ,所有发质 ,
574972956137,HAIR RECIPE Hair Recipe发之食谱蜂蜜富养水润无硅油水果洗发水530ml+530g进口 ,HAIR RECIPE ,,改善毛躁 滋润 ,中国 ,,530ml+530g 
41194698335,【屈臣氏】施华蔻多效修护快捷旅行套装(洗发50ml+护发50ml)*2件 ,Schwarzkopf/施华蔻 ,多效修复19快捷套装(洗50毫升+润50毫升)*2件套装 ,损伤修复 ,中国大陆 ,,
564190884990,COCOVEL/蔻露薇 水润蛋白滋养双效洗发乳 ,COCOVEL/蔻露薇 ,水润蛋白滋养双效洗发乳 ,深度滋养 柔软顺滑 深度清洁 滋润 ,中国大陆 ,,
577136955682,迷迭香硫磺软膏除螨洗发水男女去大块头皮屑去屑止痒控油神器克星 ,COCOESSENCE/遇见香芬 ,迷迭香洗发水沐浴露套装 ,,中国大陆 ,,
569324922006,AUSSIE/澳丝 奇迹丰盈洗发露 ,AUSSIE ,,深层滋养头皮、清洁 ,法国 ,,300mL 
583737275600,COLAR/卡拿 姜康十三味 ,COLAR/卡拿 ,,去头屑 头皮控油 防脱 育发 防脱生发 ,中国 ,,防脱育发+清润劲爽338ml*2 防脱育发+去屑止痒338ml*2 防脱育发+无硅净养338ml*2 防脱育发+乌黑润养338ml*2 护理霜（护发素）238ml 护囊精华套装4瓶 防脱育发+护理霜+护囊精华 防脱育发+护囊精华2瓶 
555889348198,满婷 青花椒头皮养护洗发露 ,满婷 ,青花椒头皮养护洗发露 ,深度滋养 柔软顺滑 改善毛躁 控油 去屑 ,中国大陆 ,所有发质 ,
552721612002,强生婴儿儿童活力亮泽洗发露200mlx2 儿童柔顺无泪洗发水公主女孩 ,Johnson’s baby/强生婴儿 ,,,中国大陆 ,,
588497966597,魔香 迷迭香控油洗发水 ,魔香 ,,深层滋养头皮、清洁 清洁 发色亮泽 温和清洁、修护 去头屑 控油 ,中国 ,,{热卖}迷迭香洗发水2瓶【即第二瓶6元，赠8ml护发精油】 迷迭香洗发水护发素套装【即第二瓶6元，赠8ml护发精油】 迷迭香洗发水沐浴露套装【即第二瓶6元，赠8ml护发精油】 迷迭香洗发水2瓶【搭70ml免洗护发精油，赠8ml护发精油】 迷迭香洗发水2瓶【配150ml免洗护发喷雾，赠8ml护发精油】 迷迭香洗护沐三件套【钜惠！每瓶低至19.3元，赠8ml护发精油】 迷迭香洗发水1瓶【控油除螨，赠4ml护发精油】 
27247132576,oba/欧芭 香草SPA48小时高营养洗发乳霜 ,oba/欧芭 ,,丰盈蓬松 改善毛躁 染烫受损护理 ,中国 ,混合性 ,740g 
525153113253,多芬洗发水露洗头膏樱花沐浴露乳液护发素套装持久留香家庭装男女 ,Dove/多芬 ,滋养水润损伤护理洗发乳×2瓶套装 ,烫染修复 改善毛躁 损伤修复 滋润 ,中国大陆 ,所有发质 ,
45319533054,资生堂无硅油洗发水2瓶惠润柔净绿野芳香男女士洗发露600ml*2瓶 ,Shiseido/资生堂 ,惠润柔净绿野芳香洗发水套装 ,柔软顺滑 深度清洁 改善毛躁 滋润 ,日本 ,所有发质 ,
572895896559,巴登魔瓶 生姜强根健发洗发水 ,巴登魔瓶 ,,强根健发 温和清洁、修护 丰盈蓬松 头皮控油 控油 ,中国 ,所有发质 ,生姜480ml 
579269215770,施华蔻8金纯盈润精油洗发水洗发露无硅油600ml*2瓶装 ,Schwarzkopf/施华蔻 ,8金纯盈润精油洗发露600毫升2件组合 ,深度滋养 深度清洁 损伤护理 ,中国大陆 ,,
540785614365,蜂花正品无硅油洗发水生姜健发小麦蛋白柔顺护发素组合装洗护套装 ,蜂花 ,,丰盈蓬松 保湿 损伤修复 控油 改善毛躁 ,,正常发质 ,
536624768654,L’Oreal professionnel/巴黎欧莱雅沙龙专属 ,L’Oreal professionnel/巴黎欧莱雅沙龙专属 ,,强韧防断发 滋润 ,西班牙 ,,250mL 250mL(染后） 
588485764679,韵の堂 淘米水臻萃养发系列 ,韵の堂 ,,丰盈蓬松 改善毛躁 改善头痒 头皮舒缓 深层清洁 ,中国 ,所有发质 ,洗发水500ml 
588615185397,满婷 满婷青花椒头皮养护洗发乳（无硅油配方） ,满婷 ,满婷青花椒头皮养护洗发乳（无硅油配方） ,深度滋养 去屑止痒 烫染修复 改善毛躁 控油 ,中国大陆 ,所有发质 ,
583195142998,Schwarzkopf/施华蔻 金致润养精油洗发露 ,Schwarzkopf/施华蔻 ,,改善毛躁 ,中国 ,,600ml 
539892455319,丝域（化妆品） 暖姜洗发露 ,丝域（化妆品） ,,深层滋养头皮、清洁 深层滋润头皮、清洁 滋润 ,中国 ,,姜暖洗发露300ml 
520775766013,SEEYOUNG/滋源 生姜强根健发尊享套(油性头皮适用) ,SEEYOUNG/滋源 ,,,中国 ,油性 ,
589636809515,KONO顺滑轻盈洗发水套装洗发水顺滑洗发露女生滋润秀发抚顺毛躁 ,KONO ,KONO顺滑轻盈套装 ,,中国大陆 ,正常发质 ,
18882926752,卓蓝雅无硅油生姜洗发水护发素抖音防脱发控油柔顺洗头膏洗护套装 ,Zooly/卓蓝雅 ,,,中国 ,油性 ,400ml+400ml 
41122330248,遇见香芬COCO洗发水护发素沐浴露洗护沐浴三件套装非修复干枯毛躁 ,COCOESSENCE/遇见香芬 ,遇见香芬洗发水沐浴露护发素套装 ,柔软顺滑 滋润营养 丰盈蓬松 滋润 补水 ,中国大陆 ,所有发质 ,
575177225216,Christophe Robin 海盐舒缓头皮洁净霜 ,Christophe Robin ,,深层清洁 丰盈蓬松 头皮控油 改善头痒 ,法国 ,所有发质 ,250mL 
545122240521,DOMELAY/朵美莱 滋润丝滑洗发露 ,DOMELAY/朵美莱 ,,深层滋养头皮、清洁 温和清洁、修护 改善毛躁 强韧防断发 滋润 ,中国 ,所有发质 ,滋润丝滑260ml 滋润丝滑460ml 滋润丝滑738ml 清爽去屑260ml 清爽去屑460ml 清爽去屑738ml 控油清新260ml 控油清新460ml 控油清新738ml 护 发 素 260ml 护 发 素 460ml 护 发 素 738ml 沐 浴 露 260ml 沐 浴 露 460ml 沐 浴 露 738ml 
588794805367,VS沙宣垂坠质感洗发水750ml洗发露男女通用洗头膏滋润发丝 ,沙宣 ,VS 沙宣 垂坠质感 洗发露/洗发水组合 ,,中国大陆 ,,
591801149705,triptychoflune三谷氨基酸无硅油洗发水护发素套装女士控油滋养 ,TriptychOfLune/三谷 ,氨基酸系列洗发水 ,,中国大陆 ,,
536067437440,amos/爱茉诗 绿茶防脱发洗发水（油性） ,amos/爱茉诗 ,绿茶防脱发洗发水（油性） ,深度滋养 防脱发 强韧防断发 控油 补水 ,韩国 ,,
527649071645,好迪 好迪活力清爽控油洗发水+保湿滋润沐浴露 ,好迪 ,好迪活力清爽控油洗发水+保湿滋润沐浴露 ,控油 舒缓肌肤 ,中国大陆 ,所有发质 ,
576812448977,George caroll/乔治卡罗尔 乔卡男士单身狗洗发水 ,George caroll/乔治卡罗尔 ,乔卡男士单身狗洗发水 ,深度清洁 改善头痒 控油 去屑 清洁发丝头皮 ,中国大陆 ,所有发质 ,
581280073059,魔香 女人香滋润顺滑洗发水 ,魔香 ,,清洁 发色亮泽 清透润泽光泽亮丽 改善毛躁 去头屑 染烫受损护理 ,中国 ,所有发质 ,【滋润柔顺】洗发水800ML 【去屑清爽】洗发水800ML 【控油清洁无硅油】洗发水800ML 【补水发膜】护发素800ML 【香体嫩肤】沐浴乳800ML 【深层滋润】滋润洗发水800ML*2【第2瓶半价】 【多重控油无硅油】控油洗发水800ML*2【第2瓶半价】 【深层去屑】去屑洗发水800ML*2【第2瓶半价】 【控油护发无硅油】洗发水800ML+护发素800ML【第2瓶半价】 【滋润护发】洗发水800ML+护发素800ML【第2瓶半价】 【去屑护发】洗发水800ML+护发素800ML【第2瓶半价】 【控油嫩肤无硅油】洗发水800ML+沐浴露800ML【第2瓶半价】 【滋润嫩肤】洗发水800ML+沐浴露800ML【第2瓶半价】 【去屑嫩肤】洗发水800ML+沐浴露800ML【第2瓶半价】 【滋润护发嫩肤】洗发水800ML+护发素800ML+沐浴露800ML【第2/3瓶半价】 【控油护发嫩肤无硅油】洗发水800ML+护发素800ML+沐浴露800ML【第2/3瓶半价】 【去屑护发嫩肤】洗发水800ML+护发素800ML+沐浴露800ML【第2/3瓶半价】 
593845357701,Aussie袋鼠凝雾去油蓬松蓬蓬洁净便携免洗头发喷雾干发清爽女65ml ,AUSSIE ,,丰盈蓬松 头皮控油 控油 ,中国 ,,65ml 
548220756480,徽歌 女人香深层补水洗发水 ,徽歌 ,,强根健发 改善头痒 去头屑 头皮控油 滋润 ,中国 ,所有发质 ,【深层补水】洗发水800ML 【去屑清爽】洗发水800ML 【控油清洁】洗发水800ML 【补水发膜】护发素800ML 【香体嫩肤】沐浴露800ML 【补水】洗发水800ML*2瓶【第2瓶半价】 【去屑】洗发水800ML*2瓶【第2瓶半价】 【控油】洗发水800ML*2瓶【第2瓶半价】 【补水】洗发水+护发素800ML*2瓶【第2瓶半价】 【去屑】洗发水+护发素800ML*2瓶【第2瓶半价】 【控油】洗发水+护发素800ML*2瓶【第2瓶半价】 【补水】洗发水+沐浴露800ML*2瓶【第2瓶半价】 【去屑】洗发水+沐浴露800ML*2瓶【第2瓶半价】 【控油】洗发水+沐浴露800ML*2瓶【第2瓶半价】 【补水】洗发水+护+沐800ML*3瓶【第2/3瓶半价】 【去屑】洗发水+护+沐800ML*3瓶【第2/3瓶半价】 【控油】洗发水+护+沐800ML*3瓶【第2/3瓶半价】 
544375525018,Moroccanoil摩洛哥精油丰盈洗发水护发素套装持久蓬松控油留香 ,Moroccanoil/摩洛哥油 ,,,其他/other ,,
544414632679,Adidas/阿迪达斯 控油劲爽男士去屑洗发露 ,Adidas/阿迪达斯 ,控油劲爽男士去屑洗发露 ,去屑止痒 头皮舒缓 改善头痒 控油 ,中国大陆 ,正常发质 ,
557856434093,YUNEGISH/优妮 马油洗发水 ,YUNEGISH/优妮 ,马油洗发水 ,深度滋养 柔软顺滑 去屑止痒 深层修复 ,中国大陆 ,所有发质 ,
